code,system,display,description,terminology_id,terminology_description,terminology_name,terminology_resource_type
ADOPTF,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adoptive father,The player of the role (father) is a male who has taken the scoper (child) into their family through legal means and raises them as his own child.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
ADOPTM,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adoptive mother,The player of the role (father) is a female who has taken the scoper (child) into their family through legal means and raises them as her own child.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
ADOPTP,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adoptive parent,The player of the role (parent) has taken the scoper (child) into their family through legal means and raises them as his or her own child.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
AUNT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,aunt,The player of the role is a sister of the scoping person's mother or father.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
BRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,brother,The player of the role is a male sharing one or both parents in common with the scoping entity.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
BROINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,brother-in-law,"""The player of the role is: (1) a brother of the scoping person's spouse, or (2) the husband of the scoping person's sister, or (3) the husband of a sister of the scoping person's spouse.""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
CHILD,http://terminology.hl7.org/CodeSystem/v3-RoleCode,child,The player of the role is a child of the scoping entity.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
CHLDADOPT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adopted child,The player of the role is a child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
CHLDFOST,http://terminology.hl7.org/CodeSystem/v3-RoleCode,foster child,The player of the role is a child receiving parental care and nurture from the scoping person (parent) but not related to him or her through legal or blood ties.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
CHLDINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,child-in-law,The player of the role is the spouse of scoping person's child.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
COUSN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,cousin,"""The player of the role is a relative of the scoping person descended from a common ancestor, such as a grandparent, by two or more steps in a diverging line.""",ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
DAU,http://terminology.hl7.org/CodeSystem/v3-RoleCode,natural daughter,The player of the role is a female offspring of the scoping entity (parent).,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
DAUADOPT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adopted daughter,The player of the role is a female child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
DAUC,http://terminology.hl7.org/CodeSystem/v3-RoleCode,daughter,Description:The player of the role is a female child (of any type) of scoping entity (parent),ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
DAUFOST,http://terminology.hl7.org/CodeSystem/v3-RoleCode,foster daughter,The player of the role is a female child receiving parental care and nurture from the scoping person (parent) but not related to him or her through legal or blood ties.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
DAUINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,daughter in-law,The player of the role is the wife of scoping person's son.,ftd-acr-enum-family-role,A relationship between two people characterizing their 'familial' relationship,ACR HL7 FamilyRole,Terminology
