code,system,display,description,terminology_id,terminology_description,terminology_name,terminology_resource_type
KIN_001,http://purl.org/ga4gh/kin.owl,isRelativeOf,A relation that indicates that a person is connected to another biologically or through a socio-legal relationship.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_002,http://purl.org/ga4gh/kin.owl,isBiologicalRelativeOf,A relation that indicates that a person is related to another person biologically.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_003,http://purl.org/ga4gh/kin.owl,isBiologicalParentOf,A relation that indicates that a person is the biological parent of another person.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_004,http://purl.org/ga4gh/kin.owl,isSpermDonorOf,A relation between a man who donated his sperm and the child.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_005,http://purl.org/ga4gh/kin.owl,isGestationalCarrierOf,"A relation between the woman who carried a fertilised egg in her womb and gave birth to a child on behalf of the mother, and the child.",ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_006,http://purl.org/ga4gh/kin.owl,isSurrogateOvumDonorOf,"A relation between the woman who carried her fertilised egg in her womb and gave birth to a child on behalf of the mother, and the child.",ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_007,http://purl.org/ga4gh/kin.owl,isBiologicalSiblingOf,A relation between two people that have one or both biological parents in common.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_008,http://purl.org/ga4gh/kin.owl,isFullSiblingOf,A relation between two people that have both biological parents in common.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_009,http://purl.org/ga4gh/kin.owl,isMultipleBirthSiblingOf,A relation between two people born at the same birth.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_010,http://purl.org/ga4gh/kin.owl,isMonozygoticMultipleBirthSiblingOf,A relation between two people born at the same birth from a single fertilised ovum that splits.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_011,http://purl.org/ga4gh/kin.owl,isPolyzygoticMultipleBirthSiblingOf,A relation between two people born at the same birth from fertilisation of more than two ovums discharged in a single ovarian cycle.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_012,http://purl.org/ga4gh/kin.owl,isHalfSiblingOf,A relation between two people that have a single biological parent in common.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_013,http://purl.org/ga4gh/kin.owl,isParentalSiblingOf,A relation that indicates that a person is the sibling of a parent of another person.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_014,http://purl.org/ga4gh/kin.owl,isCousinOf,A relation between a person and a child of that person's uncle or aunt.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_015,http://purl.org/ga4gh/kin.owl,isMaternalCousinOf,A relation between a person and a child of that person's mother's sibling.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_016,http://purl.org/ga4gh/kin.owl,isPaternalCousinOf,A relation between a person and a child of that person's father's sibling.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
KIN_017,http://purl.org/ga4gh/kin.owl,isGrandparentOf,A relation between a person and a child of that person's child.,ftd-acr-enum-relationship-code,The Kinship Ontology (KIN) is a family relations ontology developed as part of the Global Alliance for Genomics and Health Pedigree Standard project.,Kinship Ontology (KIN),Terminology
