study_id,relationship_to_proband,curie,system,display,inactive,description
,adopted child,CHLDADOPT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adopted child,,The player of the role is a child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.
,adopted daughter,DAUADOPT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adopted daughter,,The player of the role is a female child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.
,adopted son,SONADOPT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adopted son,,The player of the role is a male child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.
,adoptive father,ADOPTF,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adoptive father,,The player of the role (father) is a male who has taken the scoper (child) into their family through legal means and raises them as his own child.
,adoptive mother,ADOPTM,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adoptive mother,,The player of the role (father) is a female who has taken the scoper (child) into their family through legal means and raises them as her own child.
,adoptive parent,ADOPTP,http://terminology.hl7.org/CodeSystem/v3-RoleCode,adoptive parent,,The player of the role (parent) has taken the scoper (child) into their family through legal means and raises them as his or her own child.
,aunt,AUNT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,aunt,,The player of the role is a sister of the scoping person's mother or father.
,brother,BRO,http://terminology.hl7.org/CodeSystem/v3-RoleCode,brother,,The player of the role is a male sharing one or both parents in common with the scoping entity.
,brother-in-law,BROINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,brother-in-law,,"""The player of the role is: (1) a brother of the scoping person's spouse, or (2) the husband of the scoping person's sister, or (3) the husband of a sister of the scoping person's spouse."""
,child,CHILD,http://terminology.hl7.org/CodeSystem/v3-RoleCode,child,,The player of the role is a child of the scoping entity.
,child-in-law,CHLDINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,child-in-law,,The player of the role is the spouse of scoping person's child.
,cousin,COUSN,http://terminology.hl7.org/CodeSystem/v3-RoleCode,cousin,,"""The player of the role is a relative of the scoping person descended from a common ancestor, such as a grandparent, by two or more steps in a diverging line."""
,daughter,DAUC,http://terminology.hl7.org/CodeSystem/v3-RoleCode,daughter,,Description:The player of the role is a female child (of any type) of scoping entity (parent)
,daughter in-law,DAUINLAW,http://terminology.hl7.org/CodeSystem/v3-RoleCode,daughter in-law,,The player of the role is the wife of scoping person's son.
,domestic partner,DOMPART,http://terminology.hl7.org/CodeSystem/v3-RoleCode,domestic partner,,The player of the role cohabits with the scoping person but is not the scoping person's spouse.
,extended family member,EXT,http://terminology.hl7.org/CodeSystem/v3-RoleCode,extended family member,,"""Description:A family member not having an immediate genetic or legal relationship e.g. Aunt, cousin, great grandparent, grandchild, grandparent, niece, nephew or uncle."""
,family member,FAMMEMB,http://terminology.hl7.org/CodeSystem/v3-RoleCode,family member,,"""A relationship between two people characterizing their """"familial"""" relationship"""
,father,FTH,http://terminology.hl7.org/CodeSystem/v3-RoleCode,father,,The player of the role is a male who begets or raises or nurtures the scoping entity (child).
